"id","intended_use","title","source_file","normalized_file","source_width","source_height","quality_tier","normalized_width","normalized_height","mime_type","source_page","download_url","author","attribution","license","license_url","source_sha256","normalized_sha256"
"pcb_01_canonscan","large_top_view","CanoScan 5600F main PCB top view.jpg","./data/external/pcb_stability_samples/source/pcb_01_canonscan.jpg","./data/external/pcb_stability_samples/normalized_1920x1080/pcb_01_canonscan.jpg","960","701","visual_baseline","1920","1080","image/jpeg","https://commons.wikimedia.org/wiki/File:CanoScan_5600F_main_PCB_top_view.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/CanoScan_5600F_main_PCB_top_view.jpg/1920px-CanoScan_5600F_main_PCB_top_view.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","Mister rf","","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","1c586ac7198b3f36570c1a6274cd7e052cd32af03375fadeaecedfa5d6ad7a1a","576d9912da45d8186c875dafb59493b35affeece177e4b72b7c3ad0f3c12a546"
"pcb_02_samsung_ssd","dense_top_view","Samsung SSD 860 Pro internal top.jpg","./data/external/pcb_stability_samples/source/pcb_02_samsung_ssd.jpg","./data/external/pcb_stability_samples/normalized_1920x1080/pcb_02_samsung_ssd.jpg","250","191","low_resolution_pipeline_stress","1920","1080","image/jpeg","https://commons.wikimedia.org/wiki/File:Samsung_SSD_860_Pro_internal_top.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Samsung_SSD_860_Pro_internal_top.jpg/1920px-Samsung_SSD_860_Pro_internal_top.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","Michael Bemmerl","Michael Bemmerl","CC BY 3.0 de","https://creativecommons.org/licenses/by/3.0/de/deed.en","ba38b50dc81d1917a762380739cb513a611094aadaae106725d523a4b7195444","cf8d1e88b56db40287b30cc26ec67071e89fe476d06dff170ac8ef1b6379df12"
"pcb_03_acer_netbook","large_irregular_board","Acer Aspire One ZG5 motherboard DA0ZG5MB8F0 - top view.jpg","./data/external/pcb_stability_samples/source/pcb_03_acer_netbook.jpg","./data/external/pcb_stability_samples/normalized_1920x1080/pcb_03_acer_netbook.jpg","330","200","low_resolution_pipeline_stress","1920","1080","image/jpeg","https://commons.wikimedia.org/wiki/File:Acer_Aspire_One_ZG5_motherboard_DA0ZG5MB8F0_-_top_view.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Acer_Aspire_One_ZG5_motherboard_DA0ZG5MB8F0_-_top_view.jpg/1920px-Acer_Aspire_One_ZG5_motherboard_DA0ZG5MB8F0_-_top_view.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","Siarhei Besarab","","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","03d008d5ed2678830b1e7ac1d27b0f8b09467a8864762934fd3dde73eb0ecc31","ddd43eee7f0708460c155104576351a159879ae905b059afd0ac07470c9ee8b7"
"pcb_04_nikon_d80","dense_irregular_board","Nikon D80 mainboard.jpg","./data/external/pcb_stability_samples/source/pcb_04_nikon_d80.jpg","./data/external/pcb_stability_samples/normalized_1920x1080/pcb_04_nikon_d80.jpg","330","212","low_resolution_pipeline_stress","1920","1080","image/jpeg","https://commons.wikimedia.org/wiki/File:Nikon_D80_mainboard.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Nikon_D80_mainboard.jpg/1920px-Nikon_D80_mainboard.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","Phiarc","","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","e68a340e9fc80db7e04901d402f6b4cde58f0073aba6c853278a93ffccc68562","f21775f339ec784e08a269fa15d3e25d3b847237fef01e1248a33928d9faa476"
"pcb_05_lg_front","small_board_front","LG VN251S Motherboard Front.jpg","./data/external/pcb_stability_samples/source/pcb_05_lg_front.jpg","./data/external/pcb_stability_samples/normalized_1920x1080/pcb_05_lg_front.jpg","250","333","low_resolution_pipeline_stress","1920","1080","image/jpeg","https://commons.wikimedia.org/wiki/File:LG_VN251S_Motherboard_Front.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/LG_VN251S_Motherboard_Front.jpg/1920px-LG_VN251S_Motherboard_Front.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","Mbrickn","","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","0b2ee75e6270ce7c69136291aa65cc7d76040dcfb7a91eab700f1ced35bebead","7b96d7fa656ac7e2c8db70a7d5caf6087f2bd6d92f697556f2f0685316c8ff82"
"pcb_06_lg_back","small_board_back","LG VN251S Motherboard Back.jpg","./data/external/pcb_stability_samples/source/pcb_06_lg_back.jpg","./data/external/pcb_stability_samples/normalized_1920x1080/pcb_06_lg_back.jpg","250","333","low_resolution_pipeline_stress","1920","1080","image/jpeg","https://commons.wikimedia.org/wiki/File:LG_VN251S_Motherboard_Back.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/LG_VN251S_Motherboard_Back.jpg/1920px-LG_VN251S_Motherboard_Back.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","Mbrickn","","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","bee2deb62176235904276f33948002355912f54229624a028b6bdbdeb2f36912","71cd625a76423a8d3d28574a0798414d4448360f73b2a76bdb69ec5d41e63f0d"
"pcb_07_cat_front","phone_board_front","CAT-B25-Motherboard-Front-FL.jpg","./data/external/pcb_stability_samples/source/pcb_07_cat_front.jpg","./data/external/pcb_stability_samples/normalized_1920x1080/pcb_07_cat_front.jpg","250","239","low_resolution_pipeline_stress","1920","1080","image/jpeg","https://commons.wikimedia.org/wiki/File:CAT-B25-Motherboard-Front-FL.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/CAT-B25-Motherboard-Front-FL.jpg/1920px-CAT-B25-Motherboard-Front-FL.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","MarcoTangerino","","Public domain","","9725efbe1cb71b34f3e79f4c21ae01674a4aca2c0fad5b0805a68ff1cd730dc6","e2a43f5c25e52ec6ef6089d4d089850a98258aeaad8c4ecc47d00d05c9df4cce"
"pcb_08_cat_back","phone_board_back","CAT-B25-Motherboard-Back-FL.jpg","./data/external/pcb_stability_samples/source/pcb_08_cat_back.jpg","./data/external/pcb_stability_samples/normalized_1920x1080/pcb_08_cat_back.jpg","250","180","low_resolution_pipeline_stress","1920","1080","image/jpeg","https://commons.wikimedia.org/wiki/File:CAT-B25-Motherboard-Back-FL.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/CAT-B25-Motherboard-Back-FL.jpg/1920px-CAT-B25-Motherboard-Back-FL.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","MarcoTangerino","","Public domain","","1eda07a4520b9a7a6a855ed034ab82a8769cf784fa2e7b2f1908b8f6cea7b688","3dd0eaa397d921c6ae0f0bbb8f2f3acaa6d12566cd3d95ef9535863ca7ed1526"
"pcb_09_atmega","sparse_top_view","Simple ATmega325 Development Board (8414307586).jpg","./data/external/pcb_stability_samples/source/pcb_09_atmega.jpg","./data/external/pcb_stability_samples/normalized_1920x1080/pcb_09_atmega.jpg","330","219","low_resolution_pipeline_stress","1920","1080","image/jpeg","https://commons.wikimedia.org/wiki/File:Simple_ATmega325_Development_Board_(8414307586).jpg","https://upload.wikimedia.org/wikipedia/commons/a/ae/Simple_ATmega325_Development_Board_%288414307586%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled","Dilshan Jayakody from Maharagama, Sri Lanka","","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","51baba04eb580f924477a8e19df05fbd20b874db1a6b1124d32895f456ddb61f","8183aa9e8701539c5bc6cae6f7c127e24638039375dd31bf9825781b381c7ddf"
"pcb_10_wd_controller","square_top_view","WD Blue WD40NMZW-11GX6S1 - controller - Marvell 88I1047-NDB2-9724.jpg","./data/external/pcb_stability_samples/source/pcb_10_wd_controller.jpg","./data/external/pcb_stability_samples/normalized_1920x1080/pcb_10_wd_controller.jpg","250","250","low_resolution_pipeline_stress","1920","1080","image/jpeg","https://commons.wikimedia.org/wiki/File:WD_Blue_WD40NMZW-11GX6S1_-_controller_-_Marvell_88I1047-NDB2-9724.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/WD_Blue_WD40NMZW-11GX6S1_-_controller_-_Marvell_88I1047-NDB2-9724.jpg/1920px-WD_Blue_WD40NMZW-11GX6S1_-_controller_-_Marvell_88I1047-NDB2-9724.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","Raimond Spekking","© Raimond Spekking / CC BY-SA 4.0 (via Wikimedia Commons)","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","9f9439367157ba7951c2ab87987a2916b556105ee08d539658508a5cea55462b","ea54eb3479e72c15d18d5f3f114b637fd565825c7b8646c6b36afcf8f36bcec6"
